epoch,acc,loss,lr,val_acc,val_loss
0,0.2251169004775559,2.5130027437815285,0.001,0.021042084392302023,15.123132806980538
1,0.33266533068123066,2.1358576719969533,0.001,0.10721443065690373,13.799813249545966
2,0.38810955243820977,1.9029301063331192,0.001,0.12925851946782493,10.938795385953181
3,0.44622578494295567,1.7068302613859108,0.001,0.23446894439314314,7.304097169386839
4,0.5223780896318062,1.496355807693624,0.001,0.13426853975426697,10.957495645435158
5,0.5484301937406829,1.3820149467719263,0.001,0.26352706022993594,6.692998675879592
6,0.5801603206014665,1.2751253565391383,0.001,0.3086172405309333,4.994545267674631
7,0.6362725450105482,1.1196141029168705,0.001,0.2845691451672203,7.694935984984189
8,0.6760187041942645,0.9839008314735347,0.001,0.3737475030676635,3.9409926324664712
9,0.6957247829787637,0.9196228560560452,0.001,0.30761523792643347,7.69222878358646
10,0.7194388777953271,0.8656775401127521,0.001,0.37174349451411465,4.883240348112607
11,0.7391449565001942,0.7852531809287622,0.001,0.45591183087390985,3.1994484225829285
12,0.776553106292057,0.6773593963665729,0.001,0.31563126904244176,4.419301876802005
13,0.7818971276681425,0.6532971623267184,0.001,0.2965931925392581,5.047401856802748
14,0.7835671341490889,0.6723510362581165,0.001,0.18036072527269323,7.742521447504689
15,0.8273213094445014,0.5321435078271803,0.001,0.6553106272148943,1.585303155059566
16,0.8433533734533097,0.4837592417547204,0.001,0.6713426865652233,1.4787799342122967
17,0.8510354040221684,0.45710846988774173,0.001,0.724448903409656,1.1269050375194491
18,0.8473613895251899,0.4632954147949805,0.001,0.44088177084325547,4.050945651077316
19,0.861389445398518,0.40992545918297113,0.001,0.7334669352413896,1.0524218041367666
20,0.8580494320782805,0.4016657665561021,0.001,0.44488978935386947,3.2539445945399557
21,0.8810955244219136,0.34907060913348403,0.001,0.5921843723806446,1.4912088737936917
22,0.8887775549907723,0.33310086753420937,0.001,0.6573146329614108,1.4130701883164103
23,0.9064796257990555,0.29556659642425315,0.001,0.44488978717394007,3.916385528797616
24,0.8957915830468844,0.30985972444534937,0.001,0.6863727478799457,1.765623931535977
25,0.9188376751914371,0.2552904379949143,0.001,0.6823647332812598,1.3543512187524884
26,0.9084836338150876,0.26604102361815407,0.001,0.5701402869516002,3.1077488156741033
27,0.9134936538949838,0.26642896994480547,0.001,0.6402805668557574,1.921135504582602
28,0.8931195725579221,0.3091624009465885,0.001,0.4619238551609024,4.184062762107543
29,0.9278557115024778,0.22047021831762179,0.001,0.5450901851386489,2.1056181273622836
30,0.9368737473357257,0.19086010506253442,0.001,0.727454910297432,1.1715228046348434
31,0.9372077486717311,0.20549567199063923,0.001,0.6222444914863678,2.1949618072930224
32,0.9331997328387472,0.1813584701690024,0.001,0.8156312584638118,0.745454744654213
33,0.948563794255177,0.16482151874061737,0.001,0.6182364795155421,2.137817687285926
34,0.9331997328387472,0.20376052847287618,0.001,0.504008019824544,3.7480605906379485
35,0.9432197729189076,0.1901543216260975,0.001,0.6713426896111521,1.9794960533210892
36,0.9395457580237685,0.17463065764469232,0.001,0.6833667345419675,1.575315779877569
37,0.9452237808951236,0.15808891345489878,0.001,0.7795591168030948,0.96371492858461
38,0.9535738142952572,0.14604521533828937,0.001,0.745490982083376,1.253530670009658
39,0.9488977954319181,0.15412248630243378,0.001,0.6533066172279671,1.6392204800325787
40,0.9328657313036616,0.18999088254963148,0.001,0.6372745528010901,2.444390250709587
41,0.9458917836069504,0.15417122704511335,0.001,0.7224448900184555,1.1576887929367876
42,0.9438877755511023,0.16679672577586982,0.001,0.7104208410861258,1.3845784245488162
43,0.9579158316633266,0.12283675726963507,0.001,0.8096192352518529,0.8493110595610672
44,0.9609218436873748,0.12106005886772432,0.001,0.7575150277906048,1.2207669051651486
45,0.9589178355120784,0.12236396612508661,0.001,0.6362725461054899,2.4649589329300996
46,0.9585838343353373,0.12887708594277253,0.001,0.7905811592189964,0.8751789900606763
47,0.953573814135993,0.13801164995771928,0.001,0.4889779614064402,4.424016012696321
48,0.956579826160041,0.12972620636244656,0.001,0.49198397468469424,4.724668735014891
49,0.9592518370073481,0.1105503879460141,0.001,0.7755511020849606,1.0333242006973178
50,0.9559118236472945,0.1234878246699203,0.001,0.835671338982477,0.6607046212127548
51,0.9676018704074816,0.10906916219708755,0.001,0.7545090181555203,1.2713142949639855
52,0.9612558448641159,0.11989441095946547,0.001,0.6683366802149641,1.8721626492026813
53,0.957247828991316,0.13313898525300946,0.001,0.8496993916307041,0.705367962833968
54,0.9702738809362601,0.08725210932707421,0.001,0.8336673257107248,0.812228550936631
55,0.9569138274960464,0.12230615222262954,0.001,0.8206412776677546,0.8717222391792904
56,0.9722778889522922,0.09930248117558384,0.001,0.754509016005453,1.067880681855884
57,0.9539078154719983,0.1293061995653606,0.001,0.7895791558082214,0.932502119695555
58,0.955577822152025,0.14065737072714346,0.001,0.7775551104593372,1.1005136413044316
59,0.9706078824315297,0.08234571169068913,0.001,0.7965931866116419,1.0431254674533088
